area,theme,topic,learning_objective
Knowledge Economy,GIS&T Workforce,GIS&T Workforce Development,Outline methods (programs or processes) that provide effective staff development opportunities for GIS&T
Knowledge Economy,GIS&T Workforce,Incorporating GIS&T into existing job classifications,
Knowledge Economy,GIS&T Workforce,Labor and Management,
Knowledge Economy,GIS&T Workforce,Professional Certification,"Explain the differences between professional certification, accreditation, and licensure."
Knowledge Economy,GIS&T Workforce,Professional Certification,Name the key organizations who provide professional certification in GIS.
Knowledge Economy,GIS&T Workforce,"Social, Political, and Cultural Issues",
Programming and Development,Algorithm Design/Algorithmic Approaches,GIS and Parallel Programming,Compare measuring parallel performance using execution time versus speedup
Programming and Development,Algorithm Design/Algorithmic Approaches,GIS and Parallel Programming,Describe the benefits of parallel programming
Programming and Development,Algorithm Design/Algorithmic Approaches,GIS and Parallel Programming,Differentiate memory models used in parallel programming
Programming and Development,Algorithm Design/Algorithmic Approaches,GIS and Parallel Programming,Use Amdahl's Law to calculate theoretical speedup
Programming and Development,Algorithm Design/Algorithmic Approaches,Linear Programming and GIS,Describe the fundamental components of a Linear Program
Programming and Development,Algorithm Design/Algorithmic Approaches,Linear Programming and GIS,Discuss the limitations of solving Linear Programs in the context of Geographic Information Systems
Programming and Development,Algorithm Design/Algorithmic Approaches,Linear Programming and GIS,Distinguish between an optimal and a heuristic approach to solving linear programs
Programming and Development,Algorithm Design/Algorithmic Approaches,Linear Programming and GIS,Explain the basics of how Linear Programming works
Programming and Development,Algorithm Design/Algorithmic Approaches,Linear Programming and GIS,Recognize that integrating GIS and linear programming solution software can expand the number and kind of spatial optimization problems that can be addressed
Programming and Development,Algorithm Design/Algorithmic Approaches,Machine Learning Programming for GIS,
Programming and Development,Algorithm Design/Algorithmic Approaches,Natural Language Processing in GIS Applications,
Programming and Development,Algorithm Design/Algorithmic Approaches,Object-oriented Programming in GIS Applications,
Programming and Development,Algorithm Design/Algorithmic Approaches,Real Tme Programming in GIS Applications,
Programming and Development,Application Development,Commercialization of GIS Applications,Define commercial GIS application and how it may be licensed.
Programming and Development,Application Development,Commercialization of GIS Applications,Distinguish between and give examples of (1) B2B and B2C GIS applications and (2) horizontal and vertical GIS applications.
Programming and Development,Application Development,Commercialization of GIS Applications,Give examples of skills and areas of expertise needed to bring a commercial product from idea to launch and why they are important.
Programming and Development,Application Development,Commercialization of GIS Applications,Identify questions that can evaluate the viability of a commercial GIS application.
Programming and Development,Application Development,Commercialization of GIS Applications,"Outline key tasks involved in identifying a possible commercial GIS application, developing it and marketing it."
Programming and Development,Application Development,"Design, Development, Testing, and Deployment of GIS Applications",
Programming and Development,Application Development,Licensing of GIS Applications,
Programming and Development,Application Development,Software Requirements for GIS Applications,
Programming and Development,Application Development,Verification & Validation of GIS Applications,
Programming and Development,Development Tools,Computer-Aided Software Engineering (CASE) Tools,Evaluate available CASE tools for their appropriateness for a given development task
Programming and Development,Development Tools,Computer-Aided Software Engineering (CASE) Tools,Use CASE tools to design geospatial software
Programming and Development,Development Tools,Development Environments for Geospatial Applications,"Compare and contrast the relative merits of available environments for geospatial applications, including desktop software scripting (e.g., VBA), graphical modeling tools, geospatial components in standard environments, and “from-scratch” development in standard environments"
Programming and Development,Development Tools,Development Environments for Geospatial Applications,Develop a geospatial application using the most appropriate environment
Programming and Development,Development Tools,GIS APIs,Describe the roles of APIs in distributed GIS applications
Programming and Development,Development Tools,GIS APIs,Setup the appropriate GIS API(s) to develop GIS applications
Programming and Development,Development Tools,GIS APIs,Understand the landscape of GIS and related APIs
Programming and Development,Development Tools,Software Frameworks for GIS Applications,
Programming and Development,Development Tools,SpatialMPI: Message Passage Interface for GIS Applications,Define Message Passing Interface (MPI)
Programming and Development,Development Tools,SpatialMPI: Message Passage Interface for GIS Applications,"Define spatial data types, communication and union operation using MPI"
Programming and Development,Development Tools,SpatialMPI: Message Passage Interface for GIS Applications,Parallelize range query using MPI
Programming and Development,Development Tools,SpatialMPI: Message Passage Interface for GIS Applications,Partition spatial data using MPI
Programming and Development,Development Tools,Visual Programming for GIS Applications,
Programming and Development,Platform Specific Programming,GIS and GPU Programming,Describe the major GPU programming paradigms.
