Competency,Topic,Sub-topic,Level,learning_objective
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,Differentiate situations for which repeat photography would and would not be appropriate.
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,Describe repeat photography
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,Define the traceability of standards and describe why it important and customary practice when performing radiometric corrections and calibrations.
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,Characterize how cross-sensor radiometric correction is different from other correction techniques.
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,List and describe the major steps for color correction
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,Summarize how a contrast stretch is performed and what in the data would indicate that it should be performed.
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,Outline the differences between continuous and discrete representations of image histograms.
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,Define probability density.
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,Summarize the purpose of probability density.
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,Outline the different cumulative distribution functions and why each is used.
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,Discern when histogram matching/equalization should be performed and explain the steps needing to be performed.
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,Differentiate the various histogram segmentation methods and how to know when each method should be used.
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,Describe pan-sharpening and when it is used
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,Summarize what orthogonal subspaces are and how they are used in Principal Components Analysis.
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,Summarize the concept of separability and why a separability analysis would be performed.
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,Define data reduction.
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,Outline the various data reduction concepts and the role they play in Principal Components Analysis.
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,Interpret Principal Components
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,Transformation/Principal Components Analysis (PCT/PCA) output to determine if the results should be used.
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,Discern where certain Principal Components Transformation/Principal Components Analysis (PCT/PCA) output are located.
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,Interpret Principal Components Transformation/Principal Components Analysis (PCT/PCA) output to determine if the results should be used.
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,Perform basic Principal Components Transformation / Principal Components Analysis tasks using an electronic light table (ELT) and related software.
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,Differentiate between the spectral and temporal uses of Principal Components Transformation/Principal Components Analysis (PCT/PCA) output.
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,"Differentiate between various algorithms related to Principal Components Transformation/Principal Components Analysis (PCT/PCA; e.g., Independent Component Analysis (ICA), Minimum/Maximum Noise Fraction (MNF)) and why they would be used."
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,Describe the Tasseled Cap (Kauth-Thomas) transformation and when it is used
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,"Describe how each of the following factors effects image interpretation: tone, shape, size, pattern, texture, shadow, and association"
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,"Define the following major image processing steps and their associated events: Preprocessing, Image Enhancement, Image Transformation, Image Classification and Analysis"
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,"Describe the following processing techniques and their uses: spatial filtering, band ratioing, and principle components analysis"
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,Define striping and dropped lines and the processes used to correct for them
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,"Compare and contrast bilinear interpoation, nearest neighbor, and cubic convolution"
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,"Match the appropriate processing case for using bilinear interpolation, neareast neighbor analysis, and cubic convolution"
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,Compare and contrast linear contrast stretch and histogram equalize stretch
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,Compare and contrast low- and high-pass filtering and their associated used cases
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,Describe the process of edge detection
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,Describe the use cases for supervised vs unsupervised classification
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,Describe the General Image Quality Equation and its use case
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,Describe the National Image Interpretability Rating Scale and its use case
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,Characterize when it is and when it is not necessary to perform a radiometric calibration
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,"Differentiate between ground sample distance, pixel size, and lidar point spacing and explain how each are used."
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,Identify instances when mutliple types of sensor data must be integrated (fused) to solve a problem.
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,Describe the process of data integration (fusion)
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,"Identify what it means to ""tip and cue"" among remote sensing systems"
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,Develop numerical methods for improved signal and image processing
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,Establish methods of interpreting and manipulating data within multivariate histograms.
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,"Define which statistical methods for classification (e.g., maximum likelihood, Mahalanobis distance) should be used to produce class maps."
REMOTE SENSING,Geographic Information Systems,1. Perform addition and subtraction using a number line,Prerequisites (P),"Summarize how a number line can be used to perform basic math functions (e.g., addition and subtraction)."
REMOTE SENSING,Geographic Information Systems,"2. Plot an x,y point using a cartesian coordinate system based graph",Prerequisites (P),"Discern where an x,y point should be plotted on a graph using a cartesian coordinate system."
REMOTE SENSING,Geographic Information Systems,"2. Plot an x,y point using a cartesian coordinate system based graph",Prerequisites (P),"Discern where an x,y point should be plotted on a graph using a polar coordinate system."
REMOTE SENSING,Geographic Information Systems,3. Plot a point using a polar coordinate system,Prerequisites (P),"Compare/Contrast various coordinate systems (e.g., cartesian, polar, etc.)."
REMOTE SENSING,Geographic Information Systems,4. Connect ordered points on a graph together using a line,Prerequisites (P),Identify how ordered points on a graph should be connected.
REMOTE SENSING,Geographic Information Systems,5. Solve for any one side of a triangle using the Pythagorean Theorem,Prerequisites (P),Determine the length of one side of a triangle using the Pythagorean Theorem.
REMOTE SENSING,Geographic Information Systems,6. Trace a feature,Prerequisites (P),Define what it means to trace a feature and outline the steps taken to perform a trace.
REMOTE SENSING,Geographic Information Systems,7. Connect ordered dots,Prerequisites (P),Determine how ordered dots should be connected.
REMOTE SENSING,Geographic Information Systems,1. Calculate angular displacement for polar and cartesian coordinate system,Foundational (F),Define angular displacement and summarize how it is calculated for a polar and cartesian coordinate system.
REMOTE SENSING,Geographic Information Systems,2. List and describe the relationship among the general tables used for vector data models,Foundational (F),List the general tables used for vector data models and summarize their uses.
REMOTE SENSING,Geographic Information Systems,2. List and describe the relationship among the general tables used for vector data models,Foundational (F),Outline the relationship between the various general tables used for vector data models.
REMOTE SENSING,Geographic Information Systems,3. Define the three fundamental geometries,Foundational (F),"Summarize the role points, lines, polygons, and surfaces play in vectorization."
REMOTE SENSING,Geographic Information Systems,4. Describe the relationship between image resolution and positional error for digitized features,Foundational (F),Summarize the relationship between image resolution and positional error for digitized features.
REMOTE SENSING,Geographic Information Systems,5. Describe the relationship between image resolution and feature shape/identification,Foundational (F),Summarize the relationship between image resolution and feature shape/identification.
REMOTE SENSING,Geographic Information Systems,6. Describe the effect of caching of imagery on the digitizing process,Foundational (F),Summarize the effect caching of imagery has on the digitizing process.
REMOTE SENSING,Geographic Information Systems,7. Match effective/appropriate scale to imagery resolution when digitizing features,Foundational (F),Identify the most effective and appropriate scale to use when digitizing features given the resolution of an image.
REMOTE SENSING,Geographic Information Systems,8. Define supervised imagery classification,Foundational (F),Compare supervised imagery classification and unsupervised imagery classification and summarize how each are used when digitizing images.
REMOTE SENSING,Geographic Information Systems,9. Define unsupervised imagery classification,Foundational (F),
REMOTE SENSING,Geographic Information Systems,10. List the advantages and disadvantages of converting raster to vector data,Foundational (F),Compare the advantages and disadvantages of converting raster data to vector data.
REMOTE SENSING,Geographic Information Systems,10. List the advantages and disadvantages of converting raster to vector data,Foundational (F),Summarize the process taken to convert raster data into vector data.
REMOTE SENSING,Geographic Information Systems,11. Define attribute,Foundational (F),Define what an attribute is and summarize the purpose it has in the digitization of an image.
REMOTE SENSING,Geographic Information Systems,"12. Define attribute data types (text, Boolean, single precision, double precision, date, and time)",Foundational (F),List the different attribute data types and summarize the role they play in the digitization of images.
REMOTE SENSING,Geographic Information Systems,13. Explain the relationship between scale and vertex placement,Foundational (F),Define scale and vertex placement and outline the relationship they have with each other.
REMOTE SENSING,Geographic Information Systems,1. Perform simple arithmetic involving coordinates,Application (A),Determine the appropriate arithmetic that should be performed on coordinates based on how the coordinates will be used.
REMOTE SENSING,Geographic Information Systems,2. Select an appropriate spacing of vertices with respect to source imagery scale,Application (A),Determine the how vertices should be spaced given the scale of a source image.
